from_to_hr,probability
"((6, 205), 9)",8.695400133329469e-05
"((6, 207), 7)",8.695400133329469e-05
"((6, 207), 8)",0.00014492333555549114
"((6, 207), 9)",0.00014492333555549114
"((6, 208), 6)",8.695400133329469e-05
"((6, 208), 7)",5.796933422219646e-05
"((6, 208), 8)",5.796933422219646e-05
"((6, 208), 9)",0.00017390800266658938
"((6, 209), 7)",0.0002608620039998841
"((6, 209), 8)",0.00011593866844439292
"((6, 209), 9)",2.898466711109823e-05
"((6, 210), 7)",2.898466711109823e-05
"((6, 210), 8)",5.796933422219646e-05
"((6, 211), 8)",2.898466711109823e-05
"((6, 213), 7)",5.796933422219646e-05
"((6, 213), 9)",2.898466711109823e-05
"((6, 214), 8)",5.796933422219646e-05
"((6, 214), 9)",5.796933422219646e-05
"((6, 215), 9)",5.796933422219646e-05
"((6, 217), 6)",2.898466711109823e-05
"((6, 217), 8)",2.898466711109823e-05
"((6, 218), 7)",8.695400133329469e-05
"((6, 218), 8)",0.00017390800266658938
"((6, 218), 9)",0.00011593866844439292
"((6, 220), 9)",2.898466711109823e-05
"((6, 221), 6)",2.898466711109823e-05
"((6, 221), 7)",2.898466711109823e-05
"((6, 221), 8)",0.00011593866844439292
"((6, 221), 9)",0.0003188313382220805
"((6, 222), 6)",0.00014492333555549114
"((6, 222), 7)",0.0006086780093330628
"((6, 222), 8)",0.001391264021332715
"((6, 222), 9)",0.001768064693776992
"((6, 224), 7)",2.898466711109823e-05
"((6, 224), 9)",2.898466711109823e-05
"((6, 225), 7)",2.898466711109823e-05
"((6, 225), 9)",2.898466711109823e-05
"((6, 227), 6)",0.00011593866844439292
"((6, 227), 7)",0.00037680067244427696
"((6, 227), 8)",0.001246340685777224
"((6, 227), 9)",0.0015361873568882061
"((6, 228), 9)",2.898466711109823e-05
"((6, 229), 7)",0.00011593866844439292
"((6, 229), 8)",0.00014492333555549114
"((6, 229), 9)",0.00011593866844439292
"((6, 231), 6)",2.898466711109823e-05
"((6, 231), 8)",2.898466711109823e-05
"((6, 231), 9)",5.796933422219646e-05
"((6, 232), 6)",5.796933422219646e-05
"((6, 232), 7)",5.796933422219646e-05
"((6, 232), 8)",0.0002028926697776876
"((6, 232), 9)",8.695400133329469e-05
"((6, 238), 7)",2.898466711109823e-05
"((6, 239), 6)",5.796933422219646e-05
"((6, 239), 7)",5.796933422219646e-05
"((6, 239), 8)",0.00011593866844439292
"((6, 239), 9)",0.0002898466711109823
"((6, 240), 7)",2.898466711109823e-05
"((6, 242), 7)",2.898466711109823e-05
"((6, 244), 6)",2.898466711109823e-05
"((6, 244), 7)",2.898466711109823e-05
"((6, 244), 8)",0.00011593866844439292
"((6, 244), 9)",0.00023187733688878585
"((6, 247), 6)",5.796933422219646e-05
"((6, 247), 7)",5.796933422219646e-05
"((6, 247), 8)",0.00023187733688878585
"((6, 247), 9)",0.00037680067244427696
"((6, 248), 7)",2.898466711109823e-05
"((6, 248), 8)",2.898466711109823e-05
"((6, 250), 7)",2.898466711109823e-05
"((7, 6), 8)",0.00011593866844439292
"((7, 6), 9)",0.00011593866844439292
"((7, 9), 8)",2.898466711109823e-05
"((7, 41), 8)",5.796933422219646e-05
"((7, 43), 8)",2.898466711109823e-05
"((7, 44), 8)",5.796933422219646e-05
"((7, 44), 9)",8.695400133329469e-05
"((7, 52), 9)",2.898466711109823e-05
"((7, 53), 9)",2.898466711109823e-05
"((7, 60), 9)",2.898466711109823e-05
"((7, 65), 8)",8.695400133329469e-05
"((7, 65), 9)",0.00011593866844439292
"((7, 111), 7)",2.898466711109823e-05
"((7, 124), 9)",2.898466711109823e-05
"((7, 128), 9)",2.898466711109823e-05
"((7, 134), 8)",5.796933422219646e-05
"((7, 134), 9)",5.796933422219646e-05
"((7, 141), 8)",2.898466711109823e-05
"((7, 143), 9)",2.898466711109823e-05
"((7, 152), 9)",2.898466711109823e-05
"((7, 153), 6)",2.898466711109823e-05
"((7, 153), 7)",5.796933422219646e-05
"((7, 153), 8)",0.00014492333555549114
"((7, 153), 9)",0.00017390800266658938
"((7, 157), 7)",2.898466711109823e-05
"((7, 159), 6)",2.898466711109823e-05
"((7, 159), 8)",2.898466711109823e-05
"((7, 163), 7)",2.898466711109823e-05
"((7, 164), 6)",2.898466711109823e-05
"((7, 164), 7)",2.898466711109823e-05
"((7, 164), 9)",2.898466711109823e-05
"((7, 165), 7)",2.898466711109823e-05
"((7, 166), 7)",2.898466711109823e-05
"((7, 167), 8)",5.796933422219646e-05
"((7, 167), 9)",8.695400133329469e-05
"((7, 168), 7)",2.898466711109823e-05
"((7, 168), 9)",2.898466711109823e-05
"((7, 169), 8)",5.796933422219646e-05
"((7, 175), 8)",2.898466711109823e-05
"((7, 180), 7)",2.898466711109823e-05
"((7, 183), 8)",2.898466711109823e-05
"((7, 185), 7)",5.796933422219646e-05
"((7, 185), 8)",5.796933422219646e-05
"((7, 185), 9)",0.00011593866844439292
"((7, 189), 7)",2.898466711109823e-05
"((7, 189), 9)",2.898466711109823e-05
"((7, 195), 9)",2.898466711109823e-05
"((7, 196), 8)",2.898466711109823e-05
"((7, 196), 9)",2.898466711109823e-05
"((7, 202), 6)",8.695400133329469e-05
"((7, 202), 8)",8.695400133329469e-05
"((7, 202), 9)",0.0002028926697776876
"((7, 209), 7)",5.796933422219646e-05
"((7, 209), 8)",2.898466711109823e-05
"((7, 214), 7)",2.898466711109823e-05
"((7, 221), 7)",2.898466711109823e-05
"((7, 221), 8)",2.898466711109823e-05
"((7, 222), 7)",2.898466711109823e-05
"((7, 222), 8)",8.695400133329469e-05
"((7, 222), 9)",8.695400133329469e-05
"((7, 224), 9)",2.898466711109823e-05
"((7, 226), 9)",2.898466711109823e-05
"((7, 227), 9)",2.898466711109823e-05
"((7, 239), 8)",5.796933422219646e-05
"((7, 250), 9)",2.898466711109823e-05
"((8, 42), 6)",2.898466711109823e-05
"((8, 42), 8)",2.898466711109823e-05
"((8, 50), 8)",2.898466711109823e-05
"((8, 60), 8)",2.898466711109823e-05
"((8, 119), 8)",2.898466711109823e-05
"((8, 134), 9)",5.796933422219646e-05
"((8, 136), 6)",2.898466711109823e-05
"((8, 147), 6)",2.898466711109823e-05
"((8, 148), 8)",2.898466711109823e-05
"((8, 148), 9)",2.898466711109823e-05
"((8, 154), 6)",2.898466711109823e-05
"((8, 167), 7)",2.898466711109823e-05
"((8, 179), 7)",5.796933422219646e-05
"((8, 202), 8)",0.00014492333555549114
"((8, 202), 9)",8.695400133329469e-05
"((8, 239), 8)",2.898466711109823e-05
"((9, 2), 8)",2.898466711109823e-05
"((9, 4), 8)",2.898466711109823e-05
"((9, 4), 9)",5.796933422219646e-05
"((9, 6), 6)",0.00014492333555549114
"((9, 6), 7)",0.0004927393408886699
"((9, 6), 8)",0.0008695400133329469
"((9, 6), 9)",0.0011014173502217326
"((9, 7), 9)",2.898466711109823e-05
"((9, 31), 9)",2.898466711109823e-05
"((9, 43), 8)",2.898466711109823e-05
"((9, 58), 9)",5.796933422219646e-05
"((9, 60), 8)",2.898466711109823e-05
"((9, 60), 9)",2.898466711109823e-05
"((9, 63), 7)",2.898466711109823e-05
"((9, 63), 8)",2.898466711109823e-05
"((9, 65), 7)",0.00034781600533317876
"((9, 65), 8)",0.00034781600533317876
"((9, 65), 9)",0.00043477000666647343
"((9, 104), 6)",2.898466711109823e-05
"((9, 104), 8)",8.695400133329469e-05
"((9, 104), 9)",0.00034781600533317876
"((9, 121), 8)",2.898466711109823e-05
"((9, 123), 9)",2.898466711109823e-05
"((9, 136), 9)",2.898466711109823e-05
"((9, 143), 8)",8.695400133329469e-05
"((9, 143), 9)",5.796933422219646e-05
"((9, 148), 8)",2.898466711109823e-05
"((9, 148), 9)",2.898466711109823e-05
"((9, 149), 9)",2.898466711109823e-05
"((9, 150), 7)",2.898466711109823e-05
"((9, 150), 8)",5.796933422219646e-05
"((9, 150), 9)",2.898466711109823e-05
"((9, 152), 8)",2.898466711109823e-05
"((9, 153), 7)",2.898466711109823e-05
"((9, 153), 8)",5.796933422219646e-05
"((9, 153), 9)",5.796933422219646e-05
"((9, 167), 7)",5.796933422219646e-05
"((9, 167), 8)",0.0006086780093330628
"((9, 167), 9)",0.0006956320106663575
"((9, 168), 8)",2.898466711109823e-05
"((9, 172), 6)",2.898466711109823e-05
"((9, 179), 6)",2.898466711109823e-05
"((9, 181), 8)",2.898466711109823e-05
"((9, 185), 6)",8.695400133329469e-05
"((9, 185), 7)",0.0004057853395553752
"((9, 185), 8)",0.0006956320106663575
"((9, 185), 9)",0.001391264021332715
"((9, 189), 9)",8.695400133329469e-05
"((9, 190), 8)",2.898466711109823e-05
"((9, 197), 8)",2.898466711109823e-05
"((9, 198), 7)",2.898466711109823e-05
"((9, 199), 7)",2.898466711109823e-05
"((9, 199), 8)",2.898466711109823e-05
"((9, 199), 9)",2.898466711109823e-05
"((9, 202), 6)",5.796933422219646e-05
"((9, 202), 7)",0.0004057853395553752
"((9, 202), 8)",0.001275325352888322
"((9, 202), 9)",0.001912988029332483
"((9, 203), 6)",2.898466711109823e-05
"((9, 203), 7)",0.00014492333555549114
"((9, 203), 8)",5.796933422219646e-05
"((9, 204), 7)",5.796933422219646e-05
"((9, 204), 8)",8.695400133329469e-05
"((9, 204), 9)",0.00017390800266658938
"((9, 205), 6)",2.898466711109823e-05
"((9, 205), 9)",2.898466711109823e-05
"((9, 208), 8)",2.898466711109823e-05
"((9, 208), 9)",5.796933422219646e-05
"((9, 211), 8)",2.898466711109823e-05
"((9, 213), 9)",2.898466711109823e-05
"((9, 214), 7)",2.898466711109823e-05
"((9, 218), 8)",2.898466711109823e-05
"((9, 221), 7)",2.898466711109823e-05
"((9, 221), 8)",0.00017390800266658938
"((9, 221), 9)",8.695400133329469e-05
"((9, 222), 7)",0.00011593866844439292
"((9, 222), 8)",0.00011593866844439292
"((9, 222), 9)",0.00011593866844439292
"((9, 227), 6)",2.898466711109823e-05
"((9, 227), 7)",0.0002608620039998841
"((9, 227), 8)",0.0003188313382220805
"((9, 227), 9)",0.00043477000666647343
"((9, 231), 7)",2.898466711109823e-05
"((9, 231), 8)",2.898466711109823e-05
"((9, 231), 9)",5.796933422219646e-05
"((9, 239), 8)",2.898466711109823e-05
"((9, 239), 9)",8.695400133329469e-05
"((9, 244), 6)",2.898466711109823e-05
"((9, 244), 7)",2.898466711109823e-05
"((9, 244), 8)",8.695400133329469e-05
"((9, 244), 9)",0.00023187733688878585
"((9, 247), 7)",8.695400133329469e-05
"((9, 247), 9)",0.00017390800266658938
"((10, 6), 7)",2.898466711109823e-05
"((10, 42), 7)",5.796933422219646e-05
"((10, 50), 8)",2.898466711109823e-05
"((10, 56), 9)",2.898466711109823e-05
"((10, 57), 9)",2.898466711109823e-05
"((10, 58), 7)",2.898466711109823e-05
"((10, 65), 8)",5.796933422219646e-05
"((10, 131), 9)",2.898466711109823e-05
"((10, 133), 8)",8.695400133329469e-05
"((10, 134), 8)",2.898466711109823e-05
"((10, 141), 8)",5.796933422219646e-05
"((10, 143), 8)",2.898466711109823e-05
"((10, 146), 8)",2.898466711109823e-05
"((10, 147), 6)",2.898466711109823e-05
"((10, 148), 7)",2.898466711109823e-05
"((10, 148), 8)",5.796933422219646e-05
"((10, 153), 7)",5.796933422219646e-05
"((10, 153), 8)",2.898466711109823e-05
"((10, 178), 8)",2.898466711109823e-05
"((10, 181), 9)",2.898466711109823e-05
"((10, 184), 7)",2.898466711109823e-05
"((10, 184), 8)",8.695400133329469e-05
"((10, 185), 7)",0.00011593866844439292
"((10, 185), 8)",2.898466711109823e-05
"((10, 185), 9)",5.796933422219646e-05
"((10, 190), 7)",2.898466711109823e-05
"((10, 191), 7)",2.898466711109823e-05
"((10, 191), 8)",0.00017390800266658938
"((10, 192), 8)",2.898466711109823e-05
"((10, 192), 9)",2.898466711109823e-05
"((10, 194), 9)",2.898466711109823e-05
"((10, 202), 8)",5.796933422219646e-05
"((10, 202), 9)",0.00011593866844439292
"((10, 204), 8)",2.898466711109823e-05
"((10, 217), 7)",2.898466711109823e-05
"((10, 220), 7)",2.898466711109823e-05
"((10, 224), 8)",2.898466711109823e-05
"((10, 236), 8)",5.796933422219646e-05
"((10, 239), 9)",2.898466711109823e-05
"((30, 6), 9)",2.898466711109823e-05
"((30, 104), 8)",2.898466711109823e-05
"((30, 154), 9)",2.898466711109823e-05
"((30, 167), 8)",2.898466711109823e-05
"((30, 185), 8)",2.898466711109823e-05
"((30, 222), 9)",2.898466711109823e-05
"((31, 6), 6)",0.00014492333555549114
"((31, 6), 8)",0.00011593866844439292
"((31, 6), 9)",5.796933422219646e-05
"((31, 7), 8)",5.796933422219646e-05
"((31, 7), 9)",2.898466711109823e-05
"((31, 41), 7)",2.898466711109823e-05
"((31, 41), 8)",2.898466711109823e-05
"((31, 41), 9)",2.898466711109823e-05
"((31, 42), 8)",2.898466711109823e-05
"((31, 43), 7)",2.898466711109823e-05
"((31, 50), 8)",2.898466711109823e-05
"((31, 51), 8)",2.898466711109823e-05
"((31, 54), 7)",0.00011593866844439292
"((31, 54), 8)",0.00017390800266658938
"((31, 54), 9)",0.00017390800266658938
"((31, 55), 9)",2.898466711109823e-05
"((31, 57), 8)",0.0002028926697776876
"((31, 57), 9)",2.898466711109823e-05
"((31, 60), 7)",5.796933422219646e-05
"((31, 60), 8)",0.00034781600533317876
"((31, 60), 9)",0.00011593866844439292
"((31, 63), 9)",2.898466711109823e-05
"((31, 64), 8)",8.695400133329469e-05
"((31, 65), 7)",0.00014492333555549114
"((31, 65), 8)",0.0008115706791107504
"((31, 65), 9)",0.0004637546737775717
"((31, 66), 8)",8.695400133329469e-05
"((31, 104), 6)",0.00014492333555549114
"((31, 104), 7)",2.898466711109823e-05
"((31, 104), 8)",5.796933422219646e-05
"((31, 104), 9)",5.796933422219646e-05
"((31, 111), 7)",2.898466711109823e-05
"((31, 130), 7)",2.898466711109823e-05
"((31, 132), 6)",5.796933422219646e-05
"((31, 133), 8)",2.898466711109823e-05
"((31, 134), 6)",5.796933422219646e-05
"((31, 134), 7)",0.00014492333555549114
"((31, 134), 8)",8.695400133329469e-05
"((31, 134), 9)",2.898466711109823e-05
"((31, 135), 7)",2.898466711109823e-05
"((31, 135), 8)",2.898466711109823e-05
